Date,Change
3/28/13,6.33
4/1/13,-7.01
4/2/13,8.08
4/3/13,-16.57
4/4/13,6.29
4/5/13,-6.7
4/8/13,9.79
4/9/13,5.54
4/10/13,19.12
4/11/13,5.64
4/12/13,-4.52
4/15/13,-36.49
4/16/13,22.2
4/17/13,-22.55
4/18/13,-10.4
4/19/13,13.64
4/22/13,7.25
4/23/13,16.28
4/24/13,0.01
4/25/13,6.37
4/26/13,-2.92
4/29/13,11.37
4/30/13,3.96
5/1/13,-14.86
5/2/13,14.89
5/3/13,16.83
5/6/13,3.08
5/7/13,8.46
5/8/13,6.73
5/9/13,-6.02
5/10/13,7.03
5/13/13,0.06
5/14/13,16.57
5/15/13,8.44
5/16/13,-8.31
5/17/13,17
5/20/13,-1.18
5/21/13,2.87
5/22/13,-13.81
5/23/13,-4.84
5/24/13,-0.91
5/28/13,10.45
5/29/13,-11.7
5/30/13,6.05
5/31/13,-23.67
6/3/13,9.68
6/4/13,-9.04
6/5/13,-22.49
6/6/13,13.66
6/7/13,20.82
6/10/13,-0.57
6/11/13,-16.68
6/12/13,-13.61
6/13/13,23.84
6/14/13,-9.64
6/17/13,12.31
6/18/13,12.77
6/19/13,-22.88
6/20/13,-40.74
6/21/13,4.24
6/24/13,-19.34
6/25/13,14.94
6/26/13,15.23
6/27/13,9.94
6/28/13,-6.92
7/1/13,8.68
7/2/13,-0.88
7/3/13,1.33
7/5/13,16.48
7/8/13,8.57
7/9/13,11.85
7/10/13,0.3
7/11/13,22.41
7/12/13,5.17
7/15/13,2.31
7/16/13,-6.24
7/17/13,4.65
7/18/13,8.46
7/19/13,2.72
7/22/13,3.44
7/23/13,-3.14
7/24/13,-6.45
7/25/13,4.32
7/26/13,1.39
7/29/13,-6.32
7/30/13,0.63
7/31/13,-0.23
8/1/13,21.14
8/2/13,2.8
8/5/13,-2.54
8/6/13,-9.77
8/7/13,-6.46
8/8/13,6.57
8/9/13,-6.06
8/12/13,-1.95
8/13/13,4.69
8/14/13,-8.78
8/15/13,-24.07
8/16/13,-5.49
8/19/13,-9.77
8/20/13,6.29
8/21/13,-9.55
8/22/13,14.16
8/23/13,6.55
8/26/13,-6.72
8/27/13,-26.31
8/28/13,4.48
8/29/13,3.21
8/30/13,-5.2
9/3/13,6.8
9/4/13,13.31
9/5/13,2
9/6/13,0.09
9/9/13,16.55
9/10/13,12.27
9/11/13,5.14
9/12/13,-5.71
9/13/13,4.57
9/16/13,9.61
9/17/13,7.16
9/18/13,20.76
9/19/13,-3.18
9/20/13,-12.43
9/23/13,-8.07
9/24/13,-4.42
9/25/13,-4.66
9/26/13,5.9
9/27/13,-6.92
9/30/13,-10.2
10/1/13,13.45
10/2/13,-1.13
10/3/13,-15.21
10/4/13,11.85
10/7/13,-14.39
10/8/13,-20.67
10/9/13,0.95
10/10/13,36.16
10/11/13,10.63
10/14/13,6.95
10/15/13,-12.08
10/16/13,23.48
10/17/13,11.61
10/18/13,11.35
10/21/13,0.15
10/22/13,10.01
10/23/13,-8.3
10/24/13,5.69
10/25/13,7.7
10/28/13,2.34
10/29/13,9.84
10/30/13,-8.64
10/31/13,-6.76
11/1/13,5.1
11/4/13,6.29
11/5/13,-4.96
11/6/13,7.52
11/7/13,-23.34
11/8/13,23.45
11/11/13,1.29
11/12/13,-4.21
11/13/13,14.32
11/14/13,8.61
11/15/13,7.56
11/18/13,-6.65
11/19/13,-3.66
11/20/13,-6.49
11/21/13,14.48
11/22/13,8.9
11/25/13,-2.28
11/26/13,0.27
11/27/13,4.48
11/29/13,-1.42
12/2/13,-4.91
12/3/13,-5.74
12/4/13,-2.34
12/5/13,-7.78
12/6/13,20.06
12/9/13,3.27
12/10/13,-5.75
12/11/13,-20.4
12/12/13,-6.72
12/13/13,-0.18
12/16/13,11.22
12/17/13,-5.53
12/18/13,29.64
12/19/13,-1.05
12/20/13,8.72
12/23/13,9.67
12/24/13,5.33
12/26/13,8.7
12/27/13,-0.62
12/30/13,-0.33
12/31/13,7.29
1/2/14,-16.37
1/3/14,-0.62
1/6/14,-4.6
1/7/14,11.11
1/8/14,-0.38
1/9/14,0.63
1/10/14,4.25
1/13/14,-23.17
1/14/14,19.68
1/15/14,9.5
1/16/14,-2.49
1/17/14,-7.19
1/21/14,5.1
1/22/14,1.05
1/23/14,-16.39
1/24/14,-38.18
1/27/14,-8.73
1/28/14,10.94
1/29/14,-18.29
1/30/14,19.99
1/31/14,-11.6
2/3/14,-40.7
2/4/14,13.32
2/5/14,-3.56
2/6/14,21.79
2/7/14,23.59
2/10/14,2.82
2/11/14,19.91
2/12/14,-0.48
2/13/14,10.57
2/14/14,8.8
2/18/14,2.12
2/19/14,-12.01
2/20/14,11.04
2/21/14,-3.54
2/24/14,11.37
2/25/14,-2.49
2/26/14,0.04
2/27/14,9.13
2/28/14,5.16
3/3/14,-13.71
3/4/14,28.18
3/5/14,-0.1
3/6/14,3.21
3/7/14,1.01
3/10/14,-0.87
3/11/14,-9.55
3/12/14,0.57
3/13/14,-21.85
3/14/14,-5.21
3/17/14,17.7
3/18/14,13.42
3/19/14,-11.48
3/20/14,11.24
3/21/14,-5.49
3/24/14,-9.08
3/25/14,8.18
3/26/14,-13.06
3/27/14,-3.52
3/28/14,8.58
3/31/14,14.71
4/1/14,13.19
4/2/14,5.38
4/3/14,-2.13
4/4/14,-23.68
4/7/14,-20.06
4/8/14,6.92
4/9/14,20.22
4/10/14,-39.1
4/11/14,-17.39
4/14/14,14.92
4/15/14,12.37
4/16/14,19.33
4/17/14,2.54
4/21/14,7.04
4/22/14,7.66
4/23/14,-4.16
4/24/14,3.22
4/25/14,-15.21
4/28/14,6.02
4/29/14,8.9
4/30/14,5.62
5/1/14,-0.27
5/2/14,-2.55
5/5/14,3.52
5/6/14,-16.94
5/7/14,10.49
5/8/14,-2.58
5/9/14,2.85
5/12/14,18.18
5/13/14,0.79
5/14/14,-8.92
5/15/14,-17.68
5/16/14,7.01
5/19/14,7.23
5/20/14,-12.25
5/21/14,15.2
5/22/14,4.46
5/23/14,8.04
5/27/14,11.38
5/28/14,-2.13
5/29/14,10.24
5/30/14,3.55
6/2/14,1.39
6/3/14,-0.72
6/4/14,3.63
6/5/14,12.58
6/6/14,8.98
6/9/14,1.83
6/10/14,-0.48
6/11/14,-6.9
6/12/14,-13.78
6/13/14,6.04
6/16/14,1.62
6/17/14,4.21
6/18/14,14.99
6/19/14,2.5
6/20/14,3.39
6/23/14,-0.26
6/24/14,-12.63
6/25/14,9.55
6/26/14,-2.31
6/27/14,3.74
6/30/14,-0.73
7/1/14,13.09
7/2/14,1.3
7/3/14,10.82
7/7/14,-7.79
7/8/14,-13.94
7/9/14,9.12
7/10/14,-8.16
7/11/14,2.89
7/14/14,9.53
7/15/14,-3.82
7/16/14,8.29
7/17/14,-23.45
7/18/14,20.1
7/21/14,-4.59
7/22/14,9.9
7/23/14,3.48
7/24/14,0.98
7/25/14,-9.64
7/28/14,0.57
7/29/14,-8.96
7/30/14,0.12
7/31/14,-39.39
8/1/14,-5.52
8/4/14,13.83
8/5/14,-18.77
8/6/14,0.02
8/7/14,-10.67
8/8/14,22.02
8/11/14,5.32
8/12/14,-3.17
8/13/14,12.98
8/14/14,8.46
8/15/14,-0.12
8/18/14,16.68
8/19/14,9.86
8/20/14,4.9
8/21/14,5.86
8/22/14,-3.96
8/25/14,9.52
8/26/14,2.1
8/27/14,0.1
8/28/14,-3.38
8/29/14,6.63
9/2/14,-1.08
9/3/14,-1.56
9/4/14,-3.07
9/5/14,10.06
9/8/14,-6.17
9/9/14,-13.1
9/10/14,7.25
9/11/14,1.75
9/12/14,-11.91
9/15/14,-1.4
9/16/14,14.85
9/17/14,2.58
9/18/14,9.8
9/19/14,-0.97
9/22/14,-16.11
9/23/14,-11.52
9/24/14,15.54
9/25/14,-32.31
9/26/14,16.86
9/29/14,-5.04
9/30/14,-5.52
10/1/14,-26.12
10/2/14,0.01
10/3/14,21.74
10/6/14,-3.08
10/7/14,-29.73
10/8/14,33.79
10/9/14,-40.68
10/10/14,-22.08
10/13/14,-31.39
10/14/14,2.96
10/15/14,-15.21
10/16/14,0.27
10/17/14,24
10/20/14,17.25
10/21/14,37.27
10/22/14,-14.17
10/23/14,23.71
10/24/14,13.76
10/27/14,-2.95
10/28/14,23.42
10/29/14,-2.74
10/30/14,12.35
10/31/14,23.4
11/3/14,-0.24
11/4/14,-5.72
11/5/14,11.48
11/6/14,7.64
11/7/14,0.71
11/10/14,6.34
11/11/14,1.42
11/12/14,-1.43
11/13/14,1.07
11/14/14,0.49
11/17/14,1.5
11/18/14,10.48
11/19/14,-3.07
11/20/14,4.03
11/21/14,10.75
11/24/14,5.91
11/25/14,-2.38
11/26/14,5.79
11/28/14,-5.27
12/1/14,-14.12
12/2/14,13.11
12/3/14,7.79
12/4/14,-2.42
12/5/14,3.45
12/8/14,-15.06
12/9/14,-0.49
12/10/14,-33.67
12/11/14,9.18
12/12/14,-32.99
12/15/14,-12.7
12/16/14,-16.89
12/17/14,40.15
12/18/14,48.34
12/19/14,9.42
12/22/14,7.89
12/23/14,3.63
12/24/14,-0.29
12/26/14,6.88
12/29/14,1.81
12/30/14,-10.23
12/31/14,-21.44
1/2/15,-0.7
1/5/15,-37.63
1/6/15,-17.96
1/7/15,23.29
1/8/15,36.24
1/9/15,-17.33
1/12/15,-16.55
1/13/15,-5.23
1/14/15,-11.76
1/15/15,-18.6
1/16/15,26.75
1/20/15,3.13
1/21/15,9.57
1/22/15,31.03
1/23/15,-11.32
1/26/15,5.27
1/27/15,-27.54
1/28/15,-27.4
1/29/15,19.1
1/30/15,-26.26
2/2/15,25.86
2/3/15,29.18
2/4/15,-8.52
2/5/15,21.01
2/6/15,-7.05
2/9/15,-8.73
2/10/15,21.85
2/11/15,-0.06
2/12/15,19.95
2/13/15,8.5
2/17/15,3.36
2/18/15,-0.67
2/19/15,-2.23
2/20/15,12.85
2/23/15,-0.64
2/24/15,5.83
2/25/15,-1.62
2/26/15,-3.12
2/27/15,-6.24
3/2/15,12.89
3/3/15,-9.61
3/4/15,-9.25
3/5/15,2.51
3/6/15,-29.78
3/9/15,8.16
3/10/15,-35.26
3/11/15,-3.93
3/12/15,25.72
3/13/15,-12.56
3/16/15,27.79
3/17/15,-6.92
3/18/15,25.22
3/19/15,-10.23
3/20/15,18.82
3/23/15,-3.68
3/24/15,-12.92
3/25/15,-30.45
3/26/15,-4.9
3/27/15,4.87
3/30/15,25.22
3/31/15,-18.35
4/1/15,-8.2
4/2/15,7.27
4/6/15,13.65
4/7/15,-4.28
4/8/15,5.57
